CGATS.17
ORIGINATOR	"ColorGATE"
FILE_DESCRIPTOR	"Profiling target"
CREATED	"2022-10-24T09:34:23+02:00"
LGOROWLENGTH	16
KEYWORD	"INFO"
INFO	"Profiling target."
INSTRUMENTATION	"X-Rite i1Pro2"
KEYWORD	"ILLUMINATION_NAME"
ILLUMINATION_NAME	"D50"
KEYWORD	"OBSERVER_ANGLE"
OBSERVER_ANGLE	"2"
KEYWORD	"MEASURE_CONDITION"
MEASURE_CONDITION	"M0"
NUMBER_OF_FIELDS	44
NUMBER_OF_SETS	1024
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	PC6_1	PC6_2	PC6_3	PC6_4	PC6_5	PC6_6	SPECTRAL_NM_380	SPECTRAL_NM_390	SPECTRAL_NM_400	SPECTRAL_NM_410	SPECTRAL_NM_420	SPECTRAL_NM_430	SPECTRAL_NM_440	SPECTRAL_NM_450	SPECTRAL_NM_460	SPECTRAL_NM_470	SPECTRAL_NM_480	SPECTRAL_NM_490	SPECTRAL_NM_500	SPECTRAL_NM_510	SPECTRAL_NM_520	SPECTRAL_NM_530	SPECTRAL_NM_540	SPECTRAL_NM_550	SPECTRAL_NM_560	SPECTRAL_NM_570	SPECTRAL_NM_580	SPECTRAL_NM_590	SPECTRAL_NM_600	SPECTRAL_NM_610	SPECTRAL_NM_620	SPECTRAL_NM_630	SPECTRAL_NM_640	SPECTRAL_NM_650	SPECTRAL_NM_660	SPECTRAL_NM_670	SPECTRAL_NM_680	SPECTRAL_NM_690	SPECTRAL_NM_700	SPECTRAL_NM_710	SPECTRAL_NM_720	SPECTRAL_NM_730
END_DATA_FORMAT
BEGIN_DATA
1	A1	0	0	0	0	0	0	0.4432	0.4921	0.5559	0.6912	0.8279	0.8685	0.8796	0.8757	0.869	0.8662	0.8643	0.8631	0.863	0.8636	0.8651	0.8652	0.8665	0.8676	0.8672	0.8717	0.8734	0.8762	0.8795	0.8841	0.8891	0.8946	0.9016	0.9078	0.9126	0.9165	0.9197	0.9221	0.9265	0.9295	0.9315	0.9335
2	B1	0	0	20	0	0	0	0.3707	0.3952	0.4241	0.4992	0.5684	0.577	0.5857	0.5771	0.5747	0.6281	0.7227	0.7896	0.8183	0.8314	0.8397	0.8446	0.8487	0.8516	0.8527	0.858	0.8605	0.864	0.8679	0.8726	0.8776	0.8833	0.8905	0.8968	0.9016	0.9054	0.9086	0.9114	0.9156	0.9187	0.9199	0.9221
3	C1	0	0	40	0	0	0	0.2965	0.3002	0.3023	0.3319	0.3537	0.3443	0.351	0.3416	0.3426	0.4276	0.5862	0.7072	0.7624	0.7882	0.8043	0.8143	0.8221	0.8272	0.8296	0.8358	0.8395	0.8445	0.8489	0.8538	0.859	0.8651	0.8729	0.8799	0.8845	0.8884	0.8919	0.895	0.8994	0.9032	0.904	0.9053
4	D1	0	0	70.2	0	0	0	0.1777	0.1569	0.1344	0.126	0.1156	0.09994	0.1047	0.09861	0.102	0.189	0.3862	0.5648	0.6595	0.7078	0.7389	0.7604	0.776	0.7869	0.7929	0.8013	0.8077	0.8154	0.8213	0.8268	0.8326	0.8406	0.8498	0.8576	0.8627	0.8666	0.8706	0.8746	0.8795	0.884	0.8847	0.886
5	E1	0	0	85.1	0	0	0	0.1222	0.0942	0.06964	0.05694	0.04606	0.03589	0.03837	0.03539	0.03844	0.1041	0.2882	0.4819	0.5959	0.658	0.6994	0.7296	0.7516	0.7672	0.7768	0.7874	0.7959	0.8057	0.8131	0.819	0.8255	0.8347	0.8452	0.8536	0.8586	0.8624	0.8666	0.8711	0.8767	0.8811	0.8814	0.8827
6	F1	0	0	100	0	0	0	0.05701	0.03477	0.01901	0.01165	0.008437	0.005946	0.005879	0.005397	0.007391	0.03666	0.1708	0.3601	0.4925	0.5726	0.6286	0.6716	0.704	0.7275	0.7428	0.7571	0.7696	0.7839	0.7941	0.8011	0.8091	0.8213	0.8348	0.845	0.8502	0.8539	0.8588	0.8649	0.8718	0.8769	0.8774	0.8783
7	G1	0	20	0	0	0	0	0.4105	0.4542	0.5175	0.6409	0.7619	0.793	0.7912	0.7745	0.7552	0.7371	0.7164	0.6955	0.6796	0.6628	0.6364	0.6093	0.602	0.6081	0.6071	0.6173	0.662	0.7362	0.8006	0.8412	0.8637	0.8772	0.8876	0.8957	0.9012	0.9054	0.9086	0.9111	0.9153	0.9192	0.9204	0.9214
8	H1	0	20	20	0	0	0	0.3472	0.3685	0.399	0.467	0.5246	0.5275	0.5284	0.5136	0.5032	0.5398	0.6049	0.6411	0.6483	0.6413	0.6207	0.5976	0.5927	0.6003	0.6003	0.6112	0.6558	0.7292	0.7925	0.8323	0.8546	0.8686	0.8794	0.8874	0.8928	0.8968	0.9002	0.903	0.9073	0.911	0.9124	0.9142
9	I1	0	20	40	0	0	0	0.282	0.284	0.2886	0.317	0.3352	0.3241	0.3276	0.3149	0.3107	0.3794	0.5028	0.5846	0.6126	0.6156	0.6011	0.5818	0.5792	0.5884	0.5896	0.6011	0.6463	0.7197	0.7823	0.8219	0.8447	0.8595	0.8711	0.8795	0.8851	0.8893	0.893	0.8959	0.9006	0.9045	0.9058	0.9083
10	J1	0	20	70.2	0	0	0	0.1766	0.1573	0.1371	0.13	0.1197	0.1045	0.108	0.101	0.1028	0.1792	0.3452	0.4822	0.544	0.5652	0.563	0.5525	0.5552	0.5675	0.5712	0.5842	0.6307	0.7046	0.767	0.8056	0.8284	0.844	0.8565	0.8655	0.8708	0.8749	0.8787	0.8822	0.8876	0.8916	0.8927	0.8954
