CGATS.17
ORIGINATOR	"ColorGATE"
FILE_DESCRIPTOR	"CMYKOG Advanced Linearization Target"
CREATED	"2022-10-24T09:33:27+02:00"
LGOROWLENGTH	20
KEYWORD	"INFO"
INFO	"Linearization target with an accurate characteristic in the ranges 0..30% and 80..100%."
INSTRUMENTATION	"X-Rite i1Pro2"
KEYWORD	"ILLUMINATION_NAME"
ILLUMINATION_NAME	"D50"
KEYWORD	"OBSERVER_ANGLE"
OBSERVER_ANGLE	"2"
KEYWORD	"MEASURE_CONDITION"
MEASURE_CONDITION	"M0"
NUMBER_OF_FIELDS	45
NUMBER_OF_SETS	240
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	PC6_1	PC6_2	PC6_3	PC6_4	PC6_5	PC6_6	SPECTRAL_NM_380	SPECTRAL_NM_390	SPECTRAL_NM_400	SPECTRAL_NM_410	SPECTRAL_NM_420	SPECTRAL_NM_430	SPECTRAL_NM_440	SPECTRAL_NM_450	SPECTRAL_NM_460	SPECTRAL_NM_470	SPECTRAL_NM_480	SPECTRAL_NM_490	SPECTRAL_NM_500	SPECTRAL_NM_510	SPECTRAL_NM_520	SPECTRAL_NM_530	SPECTRAL_NM_540	SPECTRAL_NM_550	SPECTRAL_NM_560	SPECTRAL_NM_570	SPECTRAL_NM_580	SPECTRAL_NM_590	SPECTRAL_NM_600	SPECTRAL_NM_610	SPECTRAL_NM_620	SPECTRAL_NM_630	SPECTRAL_NM_640	SPECTRAL_NM_650	SPECTRAL_NM_660	SPECTRAL_NM_670	SPECTRAL_NM_680	SPECTRAL_NM_690	SPECTRAL_NM_700	SPECTRAL_NM_710	SPECTRAL_NM_720	SPECTRAL_NM_730	IGNORESAMPLE
END_DATA_FORMAT
BEGIN_DATA
1	Cyan_0	0	0	0	0	0	0	0.4483	0.5011	0.563	0.6955	0.8231	0.8619	0.8721	0.8691	0.8635	0.8618	0.8602	0.8595	0.8595	0.8603	0.8621	0.8622	0.8635	0.8648	0.8646	0.8689	0.8705	0.8738	0.8769	0.8811	0.8856	0.8903	0.8964	0.9016	0.9054	0.9083	0.9102	0.9113	0.9149	0.9171	0.9184	0.9207	0
2	Cyan_1	1.18	0	0	0	0	0	0.4283	0.4833	0.5486	0.6772	0.8007	0.8422	0.8579	0.8587	0.8544	0.8535	0.8513	0.8491	0.8462	0.8423	0.8378	0.8287	0.8199	0.8092	0.7964	0.7895	0.783	0.7806	0.7788	0.7794	0.782	0.7862	0.7921	0.7987	0.8048	0.8081	0.8091	0.8081	0.808	0.8084	0.8119	0.8198	0
3	Cyan_3	3.14	0	0	0	0	0	0.3757	0.4386	0.5094	0.6353	0.7535	0.7996	0.8245	0.8332	0.8331	0.8346	0.8327	0.829	0.8226	0.8125	0.7975	0.7742	0.7475	0.7164	0.6818	0.6557	0.6357	0.6238	0.614	0.6087	0.6089	0.6125	0.6192	0.6288	0.6393	0.6444	0.6433	0.6388	0.6333	0.6302	0.6377	0.656	0
4	Cyan_5	5.1	0	0	0	0	0	0.3297	0.3969	0.4728	0.5996	0.7207	0.7731	0.8062	0.8196	0.8221	0.8237	0.8206	0.8144	0.804	0.7875	0.7628	0.7272	0.6865	0.6397	0.5897	0.5506	0.522	0.5041	0.4894	0.4808	0.4797	0.4833	0.4906	0.5022	0.5155	0.5217	0.5198	0.5132	0.5048	0.5	0.5095	0.534	0
5	Cyan_7	7.06	0	0	0	0	0	0.2951	0.3646	0.4448	0.5689	0.686	0.7429	0.7826	0.8015	0.8071	0.8103	0.8069	0.7991	0.7856	0.764	0.7316	0.6866	0.6355	0.5778	0.5176	0.4702	0.4364	0.4152	0.398	0.3874	0.3854	0.3887	0.3962	0.4087	0.4232	0.4301	0.4275	0.4197	0.4094	0.4038	0.4146	0.4426	0
6	Cyan_9	9.02	0	0	0	0	0	0.2614	0.3346	0.4164	0.5394	0.6551	0.7142	0.7594	0.7831	0.7917	0.7958	0.7921	0.7827	0.7665	0.7404	0.7014	0.6487	0.5898	0.5244	0.4571	0.4045	0.3679	0.3449	0.3264	0.3149	0.3126	0.3158	0.3231	0.3358	0.3507	0.3578	0.3549	0.3469	0.3359	0.3295	0.3407	0.3699	0
7	Cyan_11	10.98	0	0	0	0	0	0.2334	0.3092	0.3945	0.5145	0.6251	0.6862	0.737	0.7655	0.7762	0.782	0.7782	0.7674	0.7486	0.7184	0.6737	0.6146	0.549	0.4776	0.4055	0.3494	0.3112	0.2875	0.2687	0.257	0.2546	0.2576	0.2647	0.2773	0.2923	0.2999	0.2968	0.2883	0.2771	0.2708	0.282	0.3122	0
8	Cyan_13	12.94	0	0	0	0	0	0.2097	0.2871	0.3736	0.4918	0.6004	0.6635	0.7193	0.7514	0.7649	0.7715	0.7673	0.7554	0.7342	0.7003	0.6507	0.5861	0.5155	0.4396	0.3643	0.3063	0.2674	0.2435	0.2247	0.213	0.2106	0.2136	0.2204	0.2328	0.2476	0.255	0.2519	0.2435	0.2323	0.2263	0.2373	0.2676	0
9	Cyan_15	14.9	0	0	0	0	0	0.1872	0.2649	0.3534	0.4703	0.5785	0.6437	0.7041	0.7399	0.7547	0.7621	0.7572	0.7434	0.7192	0.6812	0.6266	0.557	0.4821	0.4029	0.3256	0.2667	0.2282	0.2049	0.1866	0.1755	0.1731	0.1759	0.1823	0.1942	0.2084	0.2155	0.2126	0.2045	0.1938	0.1878	0.1985	0.2278	0
