CMYK-Advanced Target Solvent
LGOROWLENGTH	"21"
ORIGINATOR	"ColorGATE"
DESCRIPTOR	"CMYK-Advanced Target Solvent"
KEYWORD	"INFO"
INFO	"Linearization target for solvent printers with an accurate characteristic in the ranges 0..30% and 80..100%."
INSTRUMENTATION	"Barbieri Spectro LFP"
KEYWORD	"ILLUMINATION_NAME"
ILLUMINATION_NAME	"D50"
KEYWORD	"OBSERVER_ANGLE"
OBSERVER_ANGLE	"2"
NUMBER_OF_FIELDS	"42"
NUMBER_OF_SETS	"84"
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	SPECTRAL_NM_380	SPECTRAL_NM_390	SPECTRAL_NM_400	SPECTRAL_NM_410	SPECTRAL_NM_420	SPECTRAL_NM_430	SPECTRAL_NM_440	SPECTRAL_NM_450	SPECTRAL_NM_460	SPECTRAL_NM_470	SPECTRAL_NM_480	SPECTRAL_NM_490	SPECTRAL_NM_500	SPECTRAL_NM_510	SPECTRAL_NM_520	SPECTRAL_NM_530	SPECTRAL_NM_540	SPECTRAL_NM_550	SPECTRAL_NM_560	SPECTRAL_NM_570	SPECTRAL_NM_580	SPECTRAL_NM_590	SPECTRAL_NM_600	SPECTRAL_NM_610	SPECTRAL_NM_620	SPECTRAL_NM_630	SPECTRAL_NM_640	SPECTRAL_NM_650	SPECTRAL_NM_660	SPECTRAL_NM_670	SPECTRAL_NM_680	SPECTRAL_NM_690	SPECTRAL_NM_700	SPECTRAL_NM_710	SPECTRAL_NM_720	SPECTRAL_NM_730
END_DATA_FORMAT
BEGIN_DATA
1	Cyan_0	0	0	0	0	0.4667	0.5177	0.6206	0.7423	0.8418	0.8837	0.8959	0.8982	0.8995	0.8981	0.8934	0.8869	0.8782	0.8704	0.8655	0.8611	0.8578	0.8546	0.848	0.8458	0.8414	0.839	0.8383	0.8397	0.8434	0.8478	0.8543	0.8621	0.8702	0.8774	0.8837	0.8886	0.8941	0.8982	0.8997	0.9027
4	Cyan_5	5.1	0	0	0	0.4228	0.4839	0.5962	0.723	0.8254	0.8711	0.889	0.8952	0.8978	0.8965	0.8914	0.8833	0.8723	0.8602	0.848	0.8323	0.8128	0.7869	0.7516	0.7231	0.7009	0.6873	0.677	0.6707	0.6716	0.6763	0.6858	0.701	0.7181	0.7289	0.7315	0.7285	0.7235	0.7208	0.7291	0.7545
7	Cyan_10	10.98	0	0	0	0.3748	0.4513	0.5717	0.7013	0.8042	0.8543	0.8792	0.8894	0.8933	0.8924	0.8861	0.8769	0.8638	0.8471	0.827	0.7995	0.7641	0.7174	0.6585	0.6093	0.5739	0.5528	0.5358	0.5243	0.5234	0.5286	0.5396	0.56	0.5832	0.5966	0.5966	0.5881	0.5758	0.5675	0.58	0.621
9	Cyan_15	14.9	0	0	0	0.3561	0.4342	0.5567	0.6865	0.7903	0.8415	0.8695	0.8826	0.8864	0.8857	0.8791	0.8691	0.8548	0.836	0.8121	0.7787	0.7359	0.6801	0.6115	0.5547	0.5152	0.4913	0.4722	0.4593	0.458	0.463	0.4751	0.4968	0.5217	0.5355	0.5343	0.524	0.5089	0.4991	0.5127	0.5585
11	Cyan_20	20	0	0	0	0.3308	0.4147	0.5402	0.6701	0.7738	0.8274	0.8597	0.8753	0.8802	0.8796	0.8729	0.8622	0.8463	0.8244	0.7951	0.754	0.7007	0.6332	0.5529	0.4871	0.4425	0.4161	0.395	0.3806	0.3786	0.384	0.3961	0.4189	0.4456	0.4598	0.4571	0.4445	0.4264	0.4145	0.4293	0.4801
12	Cyan_25	25.1	0	0	0	0.3006	0.3923	0.5207	0.6518	0.7549	0.8104	0.847	0.8662	0.8722	0.8709	0.8637	0.8513	0.8335	0.8084	0.7738	0.7258	0.6639	0.5867	0.4973	0.4248	0.3765	0.3482	0.3256	0.3102	0.3078	0.3133	0.3256	0.3493	0.377	0.3918	0.3884	0.3746	0.3547	0.3411	0.3561	0.4093
13	Cyan_30	30.2	0	0	0	0.276	0.3719	0.5033	0.6349	0.7374	0.7955	0.8352	0.8572	0.8641	0.8627	0.8551	0.8414	0.8212	0.7928	0.7531	0.6984	0.6287	0.543	0.4461	0.3686	0.318	0.2888	0.2658	0.25	0.2477	0.2532	0.2656	0.2895	0.3177	0.3329	0.3292	0.3146	0.2937	0.2794	0.2945	0.3499
14	Cyan_35	34.9	0	0	0	0.2526	0.3536	0.4887	0.6208	0.7237	0.7843	0.8282	0.8528	0.8604	0.8592	0.8507	0.8356	0.8136	0.7819	0.7374	0.676	0.5986	0.5054	0.4023	0.3215	0.2699	0.2404	0.2176	0.2022	0.1999	0.2057	0.218	0.2418	0.2701	0.2852	0.2809	0.266	0.2449	0.2304	0.2457	0.3021
15	Cyan_40	40	0	0	0	0.2268	0.3317	0.4696	0.6033	0.7058	0.7695	0.8182	0.8467	0.8556	0.8546	0.8452	0.8288	0.8046	0.769	0.718	0.6486	0.5622	0.4606	0.3519	0.2689	0.2176	0.1891	0.1674	0.153	0.1514	0.1571	0.1692	0.1924	0.2202	0.235	0.2305	0.2155	0.1947	0.181	0.1968	0.2545
16	Cyan_45	45.1	0	0	0	0.1936	0.3012	0.4426	0.5771	0.6798	0.7472	0.8025	0.8364	0.8474	0.8471	0.8372	0.819	0.7922	0.7521	0.6937	0.6146	0.5177	0.4075	0.2944	0.2111	0.1618	0.1353	0.1157	0.1033	0.1021	0.1075	0.1187	0.1404	0.1669	0.1812	0.1765	0.1623	0.1427	0.13	0.1459	0.2039
