CGATS.17
ORIGINATOR	"ColorGATE"
FILE_DESCRIPTOR	"Profiling target"
CREATED	"2022-09-24T19:07:22+02:00"
LGOROWLENGTH	16
KEYWORD	"INFO"
INFO	"Profiling target."
NUMBER_OF_FIELDS	6
NUMBER_OF_SETS	64
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K
END_DATA_FORMAT
BEGIN_DATA
1	A1	0	0	0	0
2	B1	0	0	100	0
3	C1	0	100	0	0
4	D1	0	100	100	0
5	E1	100	0	0	0
6	F1	100	0	100	0
7	G1	100	100	0	0
8	H1	100	100	100	0
9	I1	0	0	0	100
10	J1	0	0	100	100
11	K1	0	100	0	100
12	L1	0	100	100	100
13	M1	100	0	0	100
14	N1	100	0	100	100
15	O1	100	100	0	100
16	P1	100	100	100	100
17	A2	5.098	0	0	0
18	B2	10.2	0	0	0
19	C2	20	0	0	0
20	D2	40	0	0	0
21	E2	70.2	0	0	0
22	F2	0	5.098	0	0
23	G2	0	10.2	0	0
24	H2	0	20	0	0
25	I2	0	40	0	0
26	J2	0	70.2	0	0
27	K2	0	0	5.098	0
28	L2	0	0	10.2	0
29	M2	0	0	20	0
30	N2	0	0	40	0
31	O2	0	0	70.2	0
32	P2	0	0	0	2.353
33	A3	0	0	0	5.098
34	B3	0	0	0	10.2
35	C3	0	0	0	20
36	D3	0	0	0	40
37	E3	0	0	0	60
38	F3	0	0	0	80
39	G3	45.88	36.86	36.86	0
40	H3	75.29	67.45	67.45	0
41	I3	61.18	41.96	41.96	0
42	J3	51.37	51.76	41.96	0
43	K3	51.37	41.96	51.76	0
44	L3	30.2	80	20	0
45	M3	0	20	80	50.2
46	N3	20	80	50.2	50.2
47	O3	80	50.2	50.2	70.2
48	P3	50.2	50.2	70.2	80
49	A4	50.2	70.2	80	50.2
50	B4	70.2	80	50.2	70.2
51	C4	80	50.2	70.2	40
52	D4	50.2	70.2	40	20
53	E4	70.2	40	20	70.2
54	F4	40	20	70.2	30.2
55	G4	70.2	30.2	40	40
56	H4	30.2	40	40	20
57	I4	20	30.2	20	60
58	J4	20	60	10.2	50.2
59	K4	60	10.2	50.2	10.2
60	L4	10.2	50.2	10.2	90.2
61	M4	50.2	10.2	90.2	10.2
62	N4	10.2	90.2	10.2	60
63	O4	90.2	10.2	60	70.2
64	P4	10.2	60	70.2	30.2
END_DATA
